Ticker,銘柄名
3415,P: TOKYO BASE
3416,G: ピクスタ
3417,S: 大木ヘルスケアホールディングス
3418,G: バルニバービ
3420,S: ケー・エフ・シー
3421,S: 稲葉製作所
3422,S: J-MAX
3423,S: エスイー
3426,S: アトムリビンテック
3431,P: 宮地エンジニアリンググループ
3433,P: トーカロ
3434,S: アルファCo
3435,S: サンコーテクノ
3436,P: SUMCO
3437,S: 特殊電極
3439,S: 三ツ知
3440,S: 日創プロニティ
3441,S: 山王
3443,P: 川田テクノロジーズ
3444,S: 菊池製作所
3445,P: RS Technologies
3446,P: ジェイテックコーポレーション
3447,S: 信和
3449,S: テクノフレックス
3452,S: ビーロット
3454,S: ファーストブラザーズ
3457,P: And Doホールディングス
3458,P: シーアールイー
3461,G: パルマ
3465,P: ケイアイスター不動産
3467,S: アグレ都市デザイン
3469,S: デュアルタップ
3474,G: G-FACTORY
3475,P: グッドコムアセット
3477,G: フォーライフ
3479,G: ティーケーピー
3480,P: ジェイ・エス・ビー
3482,P: ロードスターキャピタル
3484,P: イノベーションホールディングス
3486,P: グローバル・リンク・マネジメント
3489,S: フェイスネットワーク
3490,S: アズ企画設計
3491,G: GA technologies
3494,S: マリオン
3495,S: 香陵住販
3496,G: アズーム
3497,G: LeTech
3498,P: 霞ヶ関キャピタル
3501,P: SUMINOE
3512,S: 日本フエルト
3513,S: イチカワ
3521,S: エコナックホールディングス
3524,S: 日東製網
3526,S: 芦森工業
3529,S: アツギ
3536,S: アクサスホールディングス
3537,S: 昭栄薬品
3538,S: ウイルプラスホールディングス
3539,P: JMホールディングス
3540,S: 歯愛メディカル
3541,G: 農業総合研究所
3542,G: ベガコーポレーション
3543,P: コメダホールディングス
3544,S: サツドラホールディングス
3546,P: アレンザホールディングス
3547,S: 串カツ田中ホールディングス
3548,P: バロックジャパンリミテッド
3549,P: クスリのアオキホールディングス
3550,G: スタジオアタオ
3551,S: ダイニック
3553,S: 共和レザー
3556,G: リネットジャパングループ
3557,G: ユナイテッド＆コレクティブ
3558,G: ジェイドグループ
3559,S: ピーバンドットコム
3560,S: ほぼ日
3561,P: 力の源ホールディングス
3562,S: No.1
3563,P: FOOD ＆ LIFE COMPANIES
3565,S: アセンテック
3566,G: ユニフォームネクスト
3569,P: セーレン
3571,S: ソトー
3577,S: 東海染工
3580,P: 小松マテーレ
3583,S: オーベクス
3591,P: ワコールホールディングス
3593,P: ホギメディカル
3597,S: 自重堂
3598,S: 山喜
3600,S: フジックス
3604,S: 川本産業
3607,S: クラウディアホールディングス
3608,P: TSIホールディングス
3611,S: マツオカコーポレーション
3612,P: ワールド
3622,G: ネットイヤーグループ
3623,G: ビリングシステム
3624,G: アクセルマーク
3625,G: テックファームホールディングス
3626,P: TIS
3627,S: テクミラホールディングス
3628,G: データホライゾン
3632,P: グリーホールディングス
3633,S: GMOペパボ
3634,S: ソケッツ
3635,P: コーエーテクモホールディングス
3636,P: 三菱総合研究所
3639,S: ボルテージ
3640,S: 電算
3641,S: パピレス
3645,G: メディカルネット
3646,G: 駅探
3647,S: ジー・スリーホールディングス
3648,S: AGS
3649,P: ファインデックス
3652,G: ディジタルメディアプロフェッショナル
3653,G: モルフォ
3655,P: ブレインパッド
3656,P: KLab
3657,P: ポールトゥウィンホールディングス
3659,P: ネクソン
3660,P: アイスタイル
3661,P: エムアップホールディングス
3662,P: エイチーム
3663,P: セルシス
3664,G: モブキャストホールディングス
3665,P: エニグモ
3666,S: テクノスジャパン
3667,S: enish
3668,P: コロプラ
3670,S: 協立情報通信
3671,G: ソフトマックス
3672,S: オルトプラス
3673,P: ブロードリーフ
3674,G: オークファン
3675,P: クロス・マーケティンググループ
3676,P: デジタルハーツホールディングス
3678,P: メディアドゥ
3679,P: じげん
3680,G: ホットリンク
3681,P: ブイキューブ
3682,S: エンカレッジ・テクノロジ
3683,S: サイバーリンクス
3686,S: ディー・エル・イー
3687,P: フィックスターズ
3688,P: CARTA HOLDINGS
3690,G: イルグルム
3691,G: デジタルプラス
3692,G: FFRIセキュリティ
3694,P: オプティム
3695,G: GMOリサーチ＆AI
3696,P: セレス
3697,P: SHIFT
3698,G: CRI・ミドルウェア
3708,P: 特種東海製紙
3710,S: ジョルダン
3712,S: 情報企画
3719,S: ジェクシード
3723,G: 日本ファルコム
3726,S: フォーシーズHD
3727,G: アプリックス
3733,S: ソフトウェア・サービス
3738,P: ティーガイア
3741,P: セック
3744,S: サイオス
3747,S: インタートレード
3750,S: サイトリ細胞研究所
3753,S: フライトソリューションズ
3758,S: アエリア
3760,S: ケイブ
3762,P: テクマトリックス
3763,P: プロシップ
3765,P: ガンホー・オンライン・エンターテイメント
3766,S: システムズ・デザイン
3768,S: リスクモンスター
3769,P: GMOペイメントゲートウェイ
3770,S: ザッパラス
3771,P: システムリサーチ
3772,S: ウェルス・マネジメント
3773,G: アドバンスト・メディア
3774,P: インターネットイニシアティブ
3776,S: ブロードバンドタワー
3777,G: 環境フレンドリーホールディングス
3778,P: さくらインターネット
3779,S: ジェイ・エスコムホールディングス
3787,S: テクノマセマティカル
3788,P: GMOグローバルサイン・ホールディングス
3791,S: IGポート
3793,G: ドリコム
3796,S: いい生活
3798,S: ULSグループ
3799,S: キーウェアソリューションズ
3800,S: ユニリタ
